suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
OPF-rect,pglib_opf_case500_goc.m,pglib_opf_case500_goc.m,ExaModels,4254,6597,26640,33750,1.8e-8,2.9029e-5,1.338e-6,9.0157e-5,0.000103635,1.437e-6,0.000109849,0.000101822,0.003562508
OPF-rect,pglib_opf_case588_sdet.m,pglib_opf_case588_sdet.m,ExaModels,4110,6567,25672,32438,1.8e-8,2.7801e-5,1.022e-6,8.5605e-5,9.9663e-5,1.187e-6,0.000101842,9.5212e-5,0.003290784
OPF-rect,pglib_opf_case793_goc.m,pglib_opf_case793_goc.m,ExaModels,5432,8771,34170,43204,1.8e-8,3.7019e-5,1.517e-6,0.000114015,0.000132621,1.588e-6,0.000138456,0.000127086,0.004520418
OPF-rect,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,ExaModels,11192,18000,72358,92009,1.8e-8,8.5982e-5,3.412e-6,0.000259968,0.000301408,3.566e-6,0.000311777,0.000285536,0.007831915
OPF-rect,pglib_opf_case1803_snem.m,pglib_opf_case1803_snem.m,ExaModels,15246,24975,100720,128441,1.8e-8,0.00012699,4.234e-6,0.000372211,0.000428201,4.449e-6,0.000436973,0.000396804,0.010768666
OPF-rect,pglib_opf_case1888_rte.m,pglib_opf_case1888_rte.m,ExaModels,14480,23382,92902,117923,1.8e-8,0.000117801,4.622e-6,0.000340158,0.000392981,4.662e-6,0.000392858,0.000365975,0.010214748
OPF-rect,pglib_opf_case1951_rte.m,pglib_opf_case1951_rte.m,ExaModels,15018,24026,95512,121107,1.8e-8,0.000120078,5.029e-6,0.000350435,0.000405209,4.942e-6,0.00040981,0.000373761,0.01067192
OPF-rect,pglib_opf_case2000_goc.m,pglib_opf_case2000_goc.m,ExaModels,19008,31432,128734,164827,1.8e-8,0.000175083,5.171e-6,0.000492157,0.000560894,5.629e-6,0.000573934,0.000525981,0.01333518
OPF-rect,pglib_opf_case2312_goc.m,pglib_opf_case2312_goc.m,ExaModels,17128,28028,110742,140647,1.8e-8,0.000143167,4.861e-6,0.000408907,0.000474927,5.206e-6,0.000477625,0.000437931,0.012610542
OPF-rect,pglib_opf_case2383wp_k.m,pglib_opf_case2383wp_k.m,ExaModels,17004,27422,107626,136260,1.9e-8,0.000139551,5.434e-6,0.000396265,0.000459699,5.385e-6,0.000463709,0.000421303,0.01173364
OPF-rect,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,ExaModels,19088,31092,121566,153987,1.8e-8,0.000165755,5.559e-6,0.000455744,0.000526928,5.805e-6,0.000532605,0.000488484,0.013777247
OPF-rect,pglib_opf_case2737sop_k.m,pglib_opf_case2737sop_k.m,ExaModels,18988,31095,121470,153942,1.8e-8,0.000165992,5.124e-6,0.000456933,0.000529333,5.658e-6,0.000532222,0.000486777,0.013664912
OPF-rect,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,ExaModels,24540,40938,166354,212903,1.8e-8,0.000260996,6.761e-6,0.000641664,0.000739899,7.091e-6,0.000752216,0.00069829,0.016165717
