suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-rect,pglib_opf_case1951_rte.m,pglib_opf_case1951_rte.m,JuMP,15018,25977,91657,102432,4.5e-7,0.0017488,0.000148739,0.007232924,0.006031495,0.466606894
OPF-rect,pglib_opf_case2000_goc.m,pglib_opf_case2000_goc.m,JuMP,19008,33432,124981,146424,5.95e-7,0.003129593,0.000175033,0.009505804,0.009719008,0.655016202
OPF-rect,pglib_opf_case2312_goc.m,pglib_opf_case2312_goc.m,JuMP,17128,30340,106737,124404,4.24e-7,0.002556704,0.000146369,0.009217308,0.007795568,0.668919486
OPF-rect,pglib_opf_case2383wp_k.m,pglib_opf_case2383wp_k.m,JuMP,17004,29805,102859,117240,1.33e-7,0.002569278,0.000128601,0.00848496,0.007548558,0.677531355
OPF-rect,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,JuMP,19088,33828,116095,135048,1.52e-7,0.003190464,0.000152482,0.009629462,0.008823446,0.688808067
OPF-rect,pglib_opf_case2737sop_k.m,pglib_opf_case2737sop_k.m,JuMP,18988,33832,116007,135062,1.28e-7,0.003635471,0.000126139,0.009240598,0.009086709,0.577678351
OPF-rect,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,JuMP,24540,43680,160899,188620,3.46e-7,0.004401573,0.000212141,0.013264206,0.01398669,0.812672436
OPF-rect,pglib_opf_case2746wop_k.m,pglib_opf_case2746wop_k.m,JuMP,19582,34134,117685,136544,1.63e-7,0.003060314,0.000176906,0.009376414,0.009117478,0.560136492
OPF-rect,pglib_opf_case2746wp_k.m,pglib_opf_case2746wp_k.m,JuMP,19520,33938,116825,135466,2.07e-7,0.004874769,0.000148666,0.011811763,0.01054813,0.595940245
OPF-rect,pglib_opf_case2848_rte.m,pglib_opf_case2848_rte.m,JuMP,21822,37825,133343,152468,6.63e-7,0.004734614,0.000222187,0.011931758,0.011461736,0.607309356
OPF-rect,pglib_opf_case2853_sdet.m,pglib_opf_case2853_sdet.m,JuMP,23028,38860,139315,156618,1.024e-6,0.005663542,0.000266377,0.0136072,0.012147244,0.565661196
OPF-rect,pglib_opf_case2868_rte.m,pglib_opf_case2868_rte.m,JuMP,22090,38129,134517,153158,6.98e-7,0.003412477,0.000259823,0.009778232,0.010913572,0.617059056
OPF-rect,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,JuMP,25086,43551,163607,188462,6.62e-7,0.005300777,0.000278152,0.016507247,0.013467344,0.790655897
OPF-rect,pglib_opf_case3012wp_k.m,pglib_opf_case3012wp_k.m,JuMP,21082,37053,127141,147682,1.96e-7,0.003550325,0.000159433,0.009726973,0.010601383,0.705328533
OPF-rect,pglib_opf_case3022_goc.m,pglib_opf_case3022_goc.m,JuMP,23238,41034,146059,167764,6.97e-7,0.005609789,0.000224417,0.014561008,0.012095073,0.692606262
